,SAMPLE_DATE,PROCESS_TYPE,TOTAL_USERNAME,TOTAL_PGA_ALLOCATED_MB,TOTAL_PGA_USED_MB
,1-Jan-2021 13:13:43,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:13:43,other-processs,4,9.6,6.27
,1-Jan-2021 13:13:45,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:13:45,other-processs,4,9.6,5.46
,1-Jan-2021 13:13:47,bkg-processs,56,169.76,100
,1-Jan-2021 13:13:47,other-processs,4,9.6,5.46
,1-Jan-2021 13:13:49,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:13:49,other-processs,4,9.6,5.46
,1-Jan-2021 13:13:51,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:13:51,other-processs,4,9.6,5.46
,1-Jan-2021 13:13:53,bkg-processs,56,169.76,100
,1-Jan-2021 13:13:53,other-processs,4,9.6,5.46
,1-Jan-2021 13:13:55,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:13:55,other-processs,4,9.6,5.46
,1-Jan-2021 13:13:57,bkg-processs,56,169.76,100
,1-Jan-2021 13:13:57,other-processs,4,9.6,5.46
,1-Jan-2021 13:13:59,bkg-processs,56,169.76,100
,1-Jan-2021 13:13:59,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:01,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:14:01,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:03,bkg-processs,56,169.76,100
,1-Jan-2021 13:14:03,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:05,bkg-processs,56,169.76,100
,1-Jan-2021 13:14:05,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:08,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:14:08,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:10,bkg-processs,56,169.76,100
,1-Jan-2021 13:14:10,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:12,bkg-processs,56,169.76,100
,1-Jan-2021 13:14:12,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:14,bkg-processs,56,169.76,99.93
,1-Jan-2021 13:14:14,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:16,bkg-processs,56,169.76,99.93
,1-Jan-2021 13:14:16,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:18,bkg-processs,56,169.76,99.93
,1-Jan-2021 13:14:18,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:20,bkg-processs,56,169.76,99.93
,1-Jan-2021 13:14:20,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:22,bkg-processs,56,169.76,99.93
,1-Jan-2021 13:14:22,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:24,bkg-processs,56,169.76,99.86
,1-Jan-2021 13:14:24,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:26,bkg-processs,56,169.76,99.87
,1-Jan-2021 13:14:26,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:28,bkg-processs,56,169.76,99.86
,1-Jan-2021 13:14:28,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:30,bkg-processs,56,169.76,99.87
,1-Jan-2021 13:14:30,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:32,bkg-processs,56,169.76,99.87
,1-Jan-2021 13:14:32,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:34,bkg-processs,56,169.76,99.86
,1-Jan-2021 13:14:34,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:36,bkg-processs,56,169.76,99.87
,1-Jan-2021 13:14:36,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:38,bkg-processs,56,169.76,99.87
,1-Jan-2021 13:14:38,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:41,bkg-processs,56,169.76,99.86
,1-Jan-2021 13:14:41,other-processs,4,9.6,5.46
,1-Jan-2021 13:14:43,bkg-processs,56,169.76,100.01
,1-Jan-2021 13:14:43,other-processs,15,38.21,31.45
,1-Jan-2021 13:14:45,bkg-processs,56,169.76,99.95
,1-Jan-2021 13:14:45,other-processs,29,78.6,68.46
,1-Jan-2021 13:14:47,bkg-processs,56,169.76,99.81
,1-Jan-2021 13:14:47,other-processs,40,113.21,100.23
,1-Jan-2021 13:14:49,bkg-processs,56,169.76,99.81
,1-Jan-2021 13:14:49,other-processs,46,131.9,117.08
,1-Jan-2021 13:14:51,bkg-processs,56,168.63,99.82
,1-Jan-2021 13:14:51,other-processs,53,161,143.97
,1-Jan-2021 13:14:54,bkg-processs,56,168.63,99.82
,1-Jan-2021 13:14:54,other-processs,53,161,143.97
,1-Jan-2021 13:14:56,bkg-processs,56,163.95,99.82
,1-Jan-2021 13:14:56,other-processs,53,161,143.97
,1-Jan-2021 13:14:58,bkg-processs,56,163.95,99.82
,1-Jan-2021 13:14:58,other-processs,53,161,143.97
,1-Jan-2021 13:15:00,bkg-processs,56,161.95,99.82
,1-Jan-2021 13:15:00,other-processs,53,161,143.97
,1-Jan-2021 13:15:02,bkg-processs,56,159.7,99.82
,1-Jan-2021 13:15:02,other-processs,53,161,143.97
,1-Jan-2021 13:15:04,bkg-processs,56,159.7,99.82
,1-Jan-2021 13:15:04,other-processs,53,161,143.97
,1-Jan-2021 13:15:07,bkg-processs,56,148.45,99.82
,1-Jan-2021 13:15:07,other-processs,53,161,143.97
,1-Jan-2021 13:15:09,bkg-processs,56,148.45,99.82
,1-Jan-2021 13:15:09,other-processs,53,161,143.97
,1-Jan-2021 13:15:11,bkg-processs,56,148.45,99.82
,1-Jan-2021 13:15:11,other-processs,53,161,143.97
,1-Jan-2021 13:15:13,bkg-processs,56,148.45,101.38
,1-Jan-2021 13:15:13,other-processs,53,161,143.93
,1-Jan-2021 13:15:15,bkg-processs,56,149.01,99.88
,1-Jan-2021 13:15:15,other-processs,53,161,143.9
,1-Jan-2021 13:15:17,bkg-processs,56,149.01,99.88
,1-Jan-2021 13:15:17,other-processs,53,161,143.88
,1-Jan-2021 13:15:20,bkg-processs,56,149.01,99.88
,1-Jan-2021 13:15:20,other-processs,53,161,143.84
,1-Jan-2021 13:15:22,bkg-processs,56,149.01,99.88
,1-Jan-2021 13:15:22,other-processs,53,161,143.75
,1-Jan-2021 13:15:24,bkg-processs,56,149.01,99.88
,1-Jan-2021 13:15:24,other-processs,53,161,143.73
,1-Jan-2021 13:15:26,bkg-processs,56,149.01,99.88
,1-Jan-2021 13:15:26,other-processs,53,161,143.69
,1-Jan-2021 13:15:28,bkg-processs,56,150.76,100.65
,1-Jan-2021 13:15:28,other-processs,53,161,143.58
,1-Jan-2021 13:15:30,bkg-processs,56,152.26,101.56
,1-Jan-2021 13:15:30,other-processs,53,161,143.53
,1-Jan-2021 13:15:33,bkg-processs,56,160.18,108.61
,1-Jan-2021 13:15:33,other-processs,53,161,143.44
,1-Jan-2021 13:15:35,bkg-processs,56,162.06,110.89
,1-Jan-2021 13:15:35,other-processs,53,161,143.27
,1-Jan-2021 13:15:37,bkg-processs,56,164.18,110.21
,1-Jan-2021 13:15:37,other-processs,53,161,143.22
,1-Jan-2021 13:15:39,bkg-processs,56,164.18,113.76
,1-Jan-2021 13:15:39,other-processs,53,161,143.18
,1-Jan-2021 13:15:41,bkg-processs,56,167.06,114.45
,1-Jan-2021 13:15:41,other-processs,53,161,143.14
,1-Jan-2021 13:15:43,bkg-processs,56,178.43,125.88
,1-Jan-2021 13:15:43,other-processs,53,161,142.45
,1-Jan-2021 13:15:45,bkg-processs,56,180.74,121.44
,1-Jan-2021 13:15:45,other-processs,53,161,142.94
,1-Jan-2021 13:15:47,bkg-processs,56,181.68,118.48
,1-Jan-2021 13:15:47,other-processs,53,161,142.41
,1-Jan-2021 13:15:50,bkg-processs,56,181.68,119.19
,1-Jan-2021 13:15:50,other-processs,53,161,142.39
,1-Jan-2021 13:15:52,bkg-processs,56,162.12,118.12
,1-Jan-2021 13:15:52,other-processs,53,161,142.89
,1-Jan-2021 13:15:54,bkg-processs,56,167.43,118.7
,1-Jan-2021 13:15:54,other-processs,53,161,142.89
,1-Jan-2021 13:15:56,bkg-processs,56,168.81,118.15
,1-Jan-2021 13:15:56,other-processs,53,161,142.87
,1-Jan-2021 13:15:58,bkg-processs,56,168.81,118.15
,1-Jan-2021 13:15:58,other-processs,53,161,142.87
,1-Jan-2021 13:16:00,bkg-processs,56,168.81,118.16
,1-Jan-2021 13:16:00,other-processs,53,161,142.87
