SAMPLE_DATE,PROCESS_TYPE,TOTAL_USERNAME,TOTAL_PGA_ALLOCATED_MB,TOTAL_PGA_USED_MB
01-JAN-2021 13:13:43,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:13:45,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:13:47,"bkg-processs",56,169.76,100
01-JAN-2021 13:13:49,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:13:51,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:13:53,"bkg-processs",56,169.76,100
01-JAN-2021 13:13:55,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:13:57,"bkg-processs",56,169.76,100
01-JAN-2021 13:13:59,"bkg-processs",56,169.76,100
01-JAN-2021 13:14:01,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:14:03,"bkg-processs",56,169.76,100
01-JAN-2021 13:14:05,"bkg-processs",56,169.76,100
01-JAN-2021 13:14:08,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:14:10,"bkg-processs",56,169.76,100
01-JAN-2021 13:14:12,"bkg-processs",56,169.76,100
01-JAN-2021 13:14:14,"bkg-processs",56,169.76,99.93
01-JAN-2021 13:14:16,"bkg-processs",56,169.76,99.93
01-JAN-2021 13:14:18,"bkg-processs",56,169.76,99.93
01-JAN-2021 13:14:20,"bkg-processs",56,169.76,99.93
01-JAN-2021 13:14:22,"bkg-processs",56,169.76,99.93
01-JAN-2021 13:14:24,"bkg-processs",56,169.76,99.86
01-JAN-2021 13:14:26,"bkg-processs",56,169.76,99.87
01-JAN-2021 13:14:28,"bkg-processs",56,169.76,99.86
01-JAN-2021 13:14:30,"bkg-processs",56,169.76,99.87
01-JAN-2021 13:14:32,"bkg-processs",56,169.76,99.87
01-JAN-2021 13:14:34,"bkg-processs",56,169.76,99.86
01-JAN-2021 13:14:36,"bkg-processs",56,169.76,99.87
01-JAN-2021 13:14:38,"bkg-processs",56,169.76,99.87
01-JAN-2021 13:14:41,"bkg-processs",56,169.76,99.86
01-JAN-2021 13:14:43,"bkg-processs",56,169.76,100.01
01-JAN-2021 13:14:45,"bkg-processs",56,169.76,99.95
01-JAN-2021 13:14:47,"bkg-processs",56,169.76,99.81
01-JAN-2021 13:14:49,"bkg-processs",56,169.76,99.81
01-JAN-2021 13:14:51,"bkg-processs",56,168.63,99.82
01-JAN-2021 13:14:54,"bkg-processs",56,168.63,99.82
01-JAN-2021 13:14:56,"bkg-processs",56,163.95,99.82
01-JAN-2021 13:14:58,"bkg-processs",56,163.95,99.82
01-JAN-2021 13:15:00,"bkg-processs",56,161.95,99.82
01-JAN-2021 13:15:02,"bkg-processs",56,159.7,99.82
01-JAN-2021 13:15:04,"bkg-processs",56,159.7,99.82
01-JAN-2021 13:15:07,"bkg-processs",56,148.45,99.82
01-JAN-2021 13:15:09,"bkg-processs",56,148.45,99.82
01-JAN-2021 13:15:11,"bkg-processs",56,148.45,99.82
01-JAN-2021 13:15:13,"bkg-processs",56,148.45,101.38
01-JAN-2021 13:15:15,"bkg-processs",56,149.01,99.88
01-JAN-2021 13:15:17,"bkg-processs",56,149.01,99.88
01-JAN-2021 13:15:20,"bkg-processs",56,149.01,99.88
01-JAN-2021 13:15:22,"bkg-processs",56,149.01,99.88
01-JAN-2021 13:15:24,"bkg-processs",56,149.01,99.88
01-JAN-2021 13:15:26,"bkg-processs",56,149.01,99.88
01-JAN-2021 13:15:28,"bkg-processs",56,150.76,100.65
01-JAN-2021 13:15:30,"bkg-processs",56,152.26,101.56
01-JAN-2021 13:15:33,"bkg-processs",56,160.18,108.61
01-JAN-2021 13:15:35,"bkg-processs",56,162.06,110.89
01-JAN-2021 13:15:37,"bkg-processs",56,164.18,110.21
01-JAN-2021 13:15:39,"bkg-processs",56,164.18,113.76
01-JAN-2021 13:15:41,"bkg-processs",56,167.06,114.45
01-JAN-2021 13:15:43,"bkg-processs",56,178.43,125.88
01-JAN-2021 13:15:45,"bkg-processs",56,180.74,121.44
01-JAN-2021 13:15:47,"bkg-processs",56,181.68,118.48
01-JAN-2021 13:15:50,"bkg-processs",56,181.68,119.19
01-JAN-2021 13:15:52,"bkg-processs",56,162.12,118.12
01-JAN-2021 13:15:54,"bkg-processs",56,167.43,118.7
01-JAN-2021 13:15:56,"bkg-processs",56,168.81,118.15
01-JAN-2021 13:15:58,"bkg-processs",56,168.81,118.15
01-JAN-2021 13:16:00,"bkg-processs",56,168.81,118.16
01-JAN-2021 13:16:02,"bkg-processs",56,168.81,115.3
01-JAN-2021 13:16:05,"bkg-processs",56,168.81,115.35
01-JAN-2021 13:16:07,"bkg-processs",56,168.81,115.3
01-JAN-2021 13:16:09,"bkg-processs",56,168.81,115.3
01-JAN-2021 13:16:11,"bkg-processs",56,168.81,115.3
01-JAN-2021 13:16:13,"bkg-processs",56,168.81,115.3
01-JAN-2021 13:16:15,"bkg-processs",56,170.49,115.31
01-JAN-2021 13:16:17,"bkg-processs",56,170.49,115.3
01-JAN-2021 13:16:20,"bkg-processs",56,170.49,115.3
01-JAN-2021 13:16:22,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:24,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:26,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:28,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:30,"bkg-processs",56,170.24,115.3
01-JAN-2021 13:16:32,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:35,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:37,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:39,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:41,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:43,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:16:45,"bkg-processs",56,170.24,115.41
01-JAN-2021 13:16:47,"bkg-processs",56,170.24,115.42
01-JAN-2021 13:16:49,"bkg-processs",56,170.24,115.42
01-JAN-2021 13:16:52,"bkg-processs",56,170.24,115.41
01-JAN-2021 13:16:54,"bkg-processs",56,170.24,115.41
01-JAN-2021 13:16:56,"bkg-processs",56,170.24,115.42
01-JAN-2021 13:16:58,"bkg-processs",56,170.24,115.27
01-JAN-2021 13:17:02,"bkg-processs",56,170.24,115.28
01-JAN-2021 13:17:00,"bkg-processs",56,170.24,115.27
01-JAN-2021 13:17:04,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:06,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:09,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:11,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:13,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:15,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:17,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:19,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:22,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:24,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:26,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:28,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:30,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:32,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:34,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:37,"bkg-processs",56,170.24,115.22
01-JAN-2021 13:17:39,"bkg-processs",56,170.24,115.21
01-JAN-2021 13:17:41,"bkg-processs",56,170.24,115.2
01-JAN-2021 13:31:25,"bkg-processs",56,172.68,115.46
