"SAMPLE_DATE","PROCESS_TYPE","TOTAL_USERNAME","TOTAL_PGA_ALLOCATED_MB","TOTAL_PGA_USED_MB"
01-JAN-2021 13:13:43,"other-processs",4,9.6,6.27
01-JAN-2021 13:13:45,"other-processs",4,9.6,5.46
01-JAN-2021 13:13:47,"other-processs",4,9.6,5.46
01-JAN-2021 13:13:49,"other-processs",4,9.6,5.46
01-JAN-2021 13:13:51,"other-processs",4,9.6,5.46
01-JAN-2021 13:13:53,"other-processs",4,9.6,5.46
01-JAN-2021 13:13:55,"other-processs",4,9.6,5.46
01-JAN-2021 13:13:57,"other-processs",4,9.6,5.46
01-JAN-2021 13:13:59,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:01,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:03,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:05,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:08,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:10,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:12,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:14,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:16,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:18,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:20,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:22,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:24,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:26,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:28,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:30,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:32,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:34,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:36,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:38,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:41,"other-processs",4,9.6,5.46
01-JAN-2021 13:14:43,"other-processs",15,38.21,31.45
01-JAN-2021 13:14:45,"other-processs",29,78.6,68.46
01-JAN-2021 13:14:47,"other-processs",40,113.21,100.23
01-JAN-2021 13:14:49,"other-processs",46,131.9,117.08
01-JAN-2021 13:14:51,"other-processs",53,161,143.97
01-JAN-2021 13:14:54,"other-processs",53,161,143.97
01-JAN-2021 13:14:56,"other-processs",53,161,143.97
01-JAN-2021 13:14:58,"other-processs",53,161,143.97
01-JAN-2021 13:15:00,"other-processs",53,161,143.97
01-JAN-2021 13:15:02,"other-processs",53,161,143.97
01-JAN-2021 13:15:04,"other-processs",53,161,143.97
01-JAN-2021 13:15:07,"other-processs",53,161,143.97
01-JAN-2021 13:15:09,"other-processs",53,161,143.97
01-JAN-2021 13:15:11,"other-processs",53,161,143.97
01-JAN-2021 13:15:13,"other-processs",53,161,143.93
01-JAN-2021 13:15:15,"other-processs",53,161,143.9
